question_language,term,sample_english,term_occurrences,n_questions
swa,marage,S Jee MNapanda Maindi Na Na Marage Na Viazi Na Kunde Pya Pojo MBaazi Kabeg Kitunguu.,6,1
swa,kabeg,S Jee MNapanda Maindi Na Na Marage Na Viazi Na Kunde Pya Pojo MBaazi Kabeg Kitunguu.,6,1
swa,maziwa.,"My question is, my cow is the first to give birth, and it doesn't have milk as much as expected and it doesn't have a baby's house.",6,3
nyn,yanje,"My wife, Ezaire, is a good-for-nothing woman, and I'm a good-for-nothing woman, but I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing.",6,5
nyn,itano,"My wife, Ezaire, is a good-for-nothing woman, and I'm a good-for-nothing woman, but I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing.",6,4
nyn,mwebale,E. Radio broadcasters are not allowed to listen to the radio while those who listen to it are not allowed to listen to it or even to listen to it when they read the message.,6,6
nyn,ruhija,"E NINYENDA ENKOKO, 300.Children born in RUHIJA COMMUNITY SEC SCHOOL BISHAYU LC1,KITOJO,KITOJO PRISH,RUHIJA SUB,COUNTY,RUBANDA DISTRICT.COLL 0782017873",6,5
swa,weza,S. NN DAVA GANN INAYO CAN ALWAYS improve the lives of children in rural India.,6,5
swa,mdomo,Hello Wefarm?who and my chicken have mouth sores now should I do?,6,6
swa,type,What kind of good kind of cake can you make on the Busia side?,6,6
swa,kiwango,"My cow, which produces juices, will have to pump up the juice to increase the milk level.",6,4
nyn,david,David and his father were blessed by the high priest Akisha Amaechi Obwire with a gallon of water.,6,6
lug,nsobola,What is the price of a thousand dollars a day or a thousand shillings a day?,6,6
lug,mwanyi,"In the case of KASOLI and BLUGEN BIGULA SENT, I have to make a decision.",6,4
nyn,bingahi,Is it right for a human being to trust each other as much as his father Oragusharyra?,6,5
nyn,kanyine,E Kanyine Ebikyori Billionbiheka Kwonkwokwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonkwowonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwon,6,6
nyn,bwenjura,"And a question my friends often ask is how many of them will wake up and tell them that the light has begun, ""Where do you give me music now?""",6,6
nyn,ekanga,"When I was growing up, I used my disability skills to help me.",6,3
nyn,rukungiri,E Kanimpinga has four conka kanizijunda and has three karikahe nibera Rukungiri.,6,6
nyn,kaninyenda,Can't you just walk away from a woman's wedding?,6,6
nyn,yaza,Are you going to ask me to cook my eggs and beef for you?,6,5
nyn,ebihiba,"Eibanda is associated with drunkenness, drunkenness, drunkenness, and drunkenness.",6,5
nyn,bye,"The question is, what do you want to say about his grandmother jackson rubanda?",6,6
nyn,sizoni,"I'm trying to figure out what I'm going to do, and I'm going to try to do it, and I'm going to try to do it, and I'm going to do it, and I'm going to do it, and I'm going to do it, and I'm going to do it, and I'm going to do it, and I'm going to do it, and I'm going to do it, and I'm going to do it, and I'm going to do it, and I'm going to do it, and I'm going to do it, and I'm going to do it, and I'm going to do it, and I'm going to do it, and I'm going to do it, and I'm going to do it, and I'm going to do it, and I'm going to do it, and I'm going to do it.",6,6
lug,nyanya,"In the meantime, he'll be surrounded by other evil beings, such as bugs, insects, and insects.",6,4
nyn,byine,"Yes, a person can't carry another weapon if they don't have to carry a weapon.",6,5
nyn,emisiri,He truly trusted the Egyptians who hated him.,6,5
nyn,ahabweki,"He is the father of Isaac, the son of Isaac, and the father of Isaac.",6,6
nyn,nimanyisa,"E Nimanyisa Ekoko E Lakeke Nizo Zikugura Sente sh 25,000 Ninyowe Tusiime Richard is one of the most famous actresses in the world.",6,5
nyn,eshagama,I am the only one who goes with me and I am the only one who knows.,6,5
nyn,edebe,"E, Omuhingi Nagarukamu Lobati Ati Edebe Yebihimb Negura Sh,18000 Rodgers T was born",6,6
nyn,okumanya,E Ninshaba know how to make ahabikwatiriine and how to make chicken.,6,5
nyn,omwata,"I'll tell you that I'm tired, but I'm tired, and I'm not ready, but I'm waiting for something to happen.",6,6
nyn,ebimba,E Omuhiingi Anet Nabuta Ebimba Kunu Bibuzire Akatare Nkoreki is the only one who can help you.,6,6
swa,ngunia,Do you want to spend the same amount of money on your mother's womb?,6,5
nyn,eshatu,Q naba nienda to build an enkonko in the path of silence and defeat the three rounds of zirikugwara and die.,6,5
lug,agula,"E Mbuta, how much can you buy?",6,5
swa,nne,"My pig is four months old, but I don't know what medication to take.",6,3
swa,mwaka?,"S, does a goat bear many times a year?",6,3
nyn,omubiri,"If I am Francis I ask, am I the goat who was helped to transform and I am not able to emeryze orange?",6,5
lug,obulimi,"Agriculture and agriculture, agriculture and soils, agriculture and agriculture, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, and food and beverages.",6,2
lug,soya,The price of soybeans is 0782298867.,6,2
lug,kutandika,"Agriculture and agriculture, agriculture and soils, agriculture and agriculture, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, and food and beverages.",6,2
lug,ebika,"Agriculture and agriculture, agriculture and soils, agriculture and agriculture, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, and food and beverages.",6,2
lug,olwo,"Agriculture and agriculture, agriculture and soils, agriculture and agriculture, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, and food and beverages.",6,2
lug,amangu,"Agriculture and agriculture, agriculture and soils, agriculture and agriculture, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, and food and beverages.",6,2
lug,lwaki,E# LUKENGE INNOCENT LWAKI KASOLI KULLA with your Godlug,6,5
swa,mfugaji,"When you start raising chickens, what should you do to ensure that they are of benefit to the breeder?",6,4
nyn,shaha,"E Munyambe Jubajuba  Goats that are full of Shaha One fast everything after Kyangire Kurugayo Nkoreki,",6,6
nyn,patrick,PATRICK SHEEMA NINED THE QUEEN WAS born with a daughter and a son?,6,6
nyn,zigahi,E Eshaho Yemondi Nagura Zigahi is located in Zigahi.,6,6
swa,tafadhali,"Would you like to know the types of mangoes, please?",6,6
nyn,edward,Ee emondi zirikuma omubazi ninghiha like edward heeka kurug kashaasha bufundi rubanda district andenda oguri %,6,4
swa,huuzwa,Q Where is it sold?,6,6
swa,una,"S, I'd like to know when both of them are.",6,5
swa,kuchomeka,"When a branch burns and burns, what causes it and how can you treat it?",6,5
swa,wangapi,I'm trying to start the process of dealing with myself and other animals.,6,5
swa,kuza,S How long does it take for the salt to begin to sprout when it is planted?,6,5
swa,inaitwaje,Please call me at 0713913203 in pamela uasinshu county.,6,6
swa,muembe,There are several insects that feed on the female of the middle ear.,6,4
nyn,noza,"A lot of people don't even know what they're doing when they're trying to send our kids to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school.",6,4
nyn,barnabas,E Ente Yaba and I walked Orugendo Ruraingwa Omwiriisizo Nebura Amate Barnabas was born.,6,6
nyn,zingahe,E OBUYAMBI Nakaseke and how much weight and weight are there?0787821888,6,6
swa,mihogo,S miHOGO HULIMWA WP and HUVUNWA MDAGAN are also involved.,6,5
nyn,enkanga,E Omuhingi asked the chicken to breastfeed for 21 days and how long did the chicken breastfeed?,6,4
swa,hitaji,MELONY HITHAJI ANAULIZA KADJA ANAULIZA MELONY HITHAJI MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY ANAULIZA MELONY is a little too late to know what to know.,6,4
swa,begu,What's better than a danish bag and how to climb it?,6,6
swa,ndengu,What kind of medicine is there to lighten your shirt?,6,6
swa,ntapanda,"s.I want to know how much potatoes and fertilisers per acre are planted during the rainy season,",6,3
swa,kutumiwa,What other kind of seed can be used to plant seeds without using its head or leaves?,6,4
swa,mbaya,"My cow found a calf the first time it wanted to be eaten, and as soon as it moved on, it got angry, grabbed the matte and looked at it with the wrong eyes, then hid the milk and made it so that it could be eaten.",6,5
swa,mingapi?,Q. How many months old are babies to be given rabbit-siblings?,6,6
swa,mpaka,"How do I get the most out of my life and work every day, and how do I get the most out of my life every day?",6,5
swa,omena,I'd like to eat chicken and corn as well as add more to maximize their diet.,6,4
nyn,tayebwa,"When I asked my friends to look at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, they looked at me, and they looked at me.",6,6
swa,mbegu?,"Q # Spinach really produces seeds? if so, how long do you leave the field?",6,3
swa,ninapo,"S; Help, Mminko and My Chicken Akitaga Maya Na Ninapo Miki Kama Mayai Ten Hapasui All His Medicine and No",6,5
nyn,yazara,E Nanibuza nikiretwaki kushanga one of your two buzzes and one of your grandmother's grandmother's grandmother's grandmother.,6,5
nyn,munana,"E Munyamb Jubajuba Goats are full of eggs, and all that is left behind is Kyangire Kurugayo Nkoreki,",6,5
nyn,kurugayo,"E Munyamb Jubajuba Goats are full of eggs, and all that is left behind is Kyangire Kurugayo Nkoreki,",6,6
swa,kupewa,"S, the chicks of the day are trying to avoid what foods.",6,6
swa,gani.,"How long do chickens die and how long do they die, and how long do chickens die and how long do they die?",6,4
nyn,zona,E Nnyine is a manufacturer of cabbage nanogwebicori the two zones of zayezire nimubasa to press customers 0751963974,6,5
nyn,yoburo,It was written by Ebeyi Yoburo Omuri Ibanda.,6,6
nyn,rugongo,E. Do you want to know how YAKURAYAKURA covers the COMMUNY NOGICUNGURA OTA? by Emma Kuriga Rugongo Karungu -Buhweju.0706520530,6,5
swa,bacterial,I'm sick of my grandmother's illness but I'm dying of a bacterial illness.What medication should I use to prevent this illness?,6,4
swa,hakuli,"S My chicken kienyeji did not eat and eat, and I lost six and a half pounds.",6,3
swa,uzani,"S My chicken kienyeji did not eat and eat, and I lost six and a half pounds.",6,3
swa,spices,S:nko na vitunguu za leeks and spices cerery naeza find where to find something.,6,3
swa,pya,S Jee MNapanda Maindi Na Na Marage Na Viazi Na Kunde Pya Pojo MBaazi Kabeg Kitunguu.,6,1
swa,itoe,What medication should be given to manage small branches to grow branches and to prevent germs?,5,4
nyn,obutunwa,Do you think I'm going to be able to fix the problem?,5,4
swa,ikuwe,And what kind of tomato seed can I plant on the side of the bush with you?,5,5
nyn,ekyibuzo,"What is the meaning of love or hate, carrot, murder, etc.?",5,5
nyn,kyegegwa,I'm going to ask the district attorney (kanyobwa) about how we're going to organize our return trip.I'm Joshua Kyegegwa district.,5,5
swa,vidonda,Hello Wefarm?who and my chicken have mouth sores now should I do?,5,5
swa,homa,"Q,What kind of treatment have we tried using chicken Upantewa Homa?",5,4
swa,nime,I've asked more than a dozen questions and I've only got one answer.,5,5
swa,anausa,Who tries to be the Anausa goat of the sheep ?,5,3
nyn,shs,E Nanye Mbyine Ebihimba Twente 200 Kgs Shs 2000 Orikubyenda Atere 0774294553 Garukamu Na E2 Starting the Message,5,5
swa,army,"Army worms have eaten my corn and still scratched my head, what should I do?",5,5
nyn,eitaka,"It is the Father who gives His life to the world, who gives life to the world.",5,5
nyn,obwana,Education and Childhood Education Education Education and Childhood Education Education Education and Childhood Education RUHIJA COMMUNITY SECONDARY SCHOOL,5,5
lug,lukenge,E# LUKENGE INNOCENT MYEZI and ZETUBIRAMUS are the only ones who are innocent.,5,4
lug,buuza,"Charles asks, ""How long can I forgive my wife?""",5,5
nyn,kubi,"Yes, I'm the one who's looking at you and I'm looking forward to seeing you again.",5,5
swa,biashara,"S Jambo, Am Kibet From Mt Elgon.What is Agricultural Business?",5,4
swa,upewa,q The cost of improved health care is what medication and food you give.,5,5
nyn,bitu,You and your teacher will be able to find a new world where you can make money or live for a living right now.,5,4
nyn,omutumba,Is it right for a human being to trust each other as much as his father Oragusharyra?,5,4
nyn,mpingire,"In the Bible, we all find a tree of happiness.",5,5
nyn,omuhingyi,Enock is the producer of webikyori along with noburo ninyenda katare.,5,5
nyn,oshemereire,And that's where you need to do your homework.,5,4
nyn,bicori,He asked me the name of Bicori.,5,4
nyn,micheal,"It is the new Michele's bike, the Nikkaihahi and the Zingahi Shillings, which weighs 100 kg.",5,5
nyn,nemara,E Goats and the Goats and the Goats and the Goats and the Goats and Muhumuza Jamadah Mpugwe Masaka/Nkoni Bwiizi Kamwengye.0778669347/0704765088.,5,5
nyn,amagezi,And the new power of my friends and friends will bring you peace of mind by Nikiretuwaki Jonath Buhweju.,5,5
swa,saidi,I want a four-month-old chicken and I said the 200 number is 0721313182 in Kipkelion kericho county.,5,3
nyn,mugambire,E; OBUYAMBI; who will tell the coach to shoot the emondi?,5,5
nyn,kureberera,I can't wait to see what I can do to help grow sleep.,5,5
nyn,yenyanya,What's the point of having a hateful relationship with you and the Bunyagabu District?,5,5
nyn,nabanimbuza,Do you know what I'm talking about? I'm asking a lot of young people where you can start to think about someone else.,5,5
nyn,kimwe,"I'm a hairdresser, but I'm expecting a hair loss disorder that's going to make my hair one more time than it's ever been!",5,4
nyn,green,E AMAZINA JOSEPH NAKOZESA GREEN OGARNIC MANURE TABIRASUBA to work in the field 0702605731,5,5
nyn,notamu,E Wahinga friends are born Notamu Mubaziki.,5,5
swa,je?,Where do you need a raccoon?Do you want to raccoon?Do you want to sell it?,5,4
nyn,ekindi,"As the question arises, how do I go about living life to the fullest?",5,3
lug,buli,"In addition, the drug is known as PROPANIL (SELECTIVE) HERBICIDE.",5,4
nyn,mwani,Do I want to give you a name because my friend has taken away your talents?,5,4
nyn,nkahinga,E#KINHINGA WATER MELON HATI NIZRABYA FUHIRIZE Striker with the money?,5,5
nyn,kumara,"Yes, I wanted to kill you.",5,5
nyn,amajani,How do you find the color of the Amazon rainforest in a yellow color?,5,4
nyn,emikamba,"But when one day my taste of salt has turned into a delicacy in your presence, I have tasted as good as bad, and as good as bad, and as good as bad, and as good as bad, and as good as bad, and as good as bad, and as good as bad, and as good as good, and as good as good, and as good as good, and as good as good, and as good as good, and as good as good, and as good as good, and as good as good, and as good as good, and as good as good, and as good as good, and good as good as good, and good as good, and good as good as good, and good as good, and good as good, and good as good, and good as good, and good as good as good, and good as good as good, and good as good, and good as well as good, and good as good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and good, and, and good, and, and, and, and, and good, and, and, and, and, and,",5,5
nyn,kuhika,E emondi okaziconca how many children until they climb up.,5,5
nyn,kyegegwa.,"On the 1st day of training, I use a weed mast to heat up the grass to make the harumu kabiki.",5,4
nyn,ebinyatsi,E Nikiretwaki Entaama Yahunika Ebinyatsi Omwitaama and Eguma Nerya Kwonka Neyekuuma Bitu and Eguma One Ebinyatsi Omwitaama are the two most important things in life.,5,2
lug,kasooli,Egala kyi elita is known as ebikossa kasolugoli.,5,5
swa,zote,Do you want to spend the same amount of money on your mother's womb?,5,4
nyn,nkoko,"If I give birth to twenty chickens that have died in the wild, should I send fifteen of them to the wild?",5,5
nyn,enzura,What is the meaning of life when there is no life?,5,5
lug,mutaka,"Nalima's grandfather had never been with him a low-lying rodent, but you wanted to be with him, didn't he?",5,5
lug,sente,"In the case of KASOLI and BLUGEN BIGULA SENT, I have to make a decision.",5,4
nyn,sub,"It is located in Kyegayikye Tc, Kishambya Parish, Mpara Sub County, Kyegyegwa District.",5,5
swa,viasi,"If there's something he's wearing on his head, what am I going to do with it?",5,4
nyn,endwara,"I'm a hairdresser, but I'm expecting a hair loss disorder that's going to make my hair one more time than it's ever been!",5,5
swa,imeanza,Niko and his grandmother began to give flowers which poison they would use.,5,5
swa,jioni,"S, Na Bata Hutaka Mayai Yake Sangabi? Hasubui, during the day, in the afternoon or at night?",5,4
nyn,kwana,Emitumbaiyage is living with EYOMA.,5,5
nyn,nokora,"When I was a child, I wanted to be able to grow carrots and work forever, and I asked for wisdom.",5,5
lug,nenkoko,"Agriculture and agriculture, agriculture and soils, agriculture and agriculture, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, and food and beverages.",5,1
lug,ezaffe,"Agriculture and agriculture, agriculture and soils, agriculture and agriculture, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, and food and beverages.",5,1
lug,kulunda,"Agriculture and agriculture, agriculture and soils, agriculture and agriculture, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, and food and beverages.",5,1
lug,kutegera,"Agriculture and agriculture, agriculture and soils, agriculture and agriculture, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, and food and beverages.",5,1
lug,ekikula,"Agriculture and agriculture, agriculture and soils, agriculture and agriculture, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, food and beverages, and food and beverages.",5,1
swa,inakaa,"I've got panda corn but I'll change the color yellowish, what are you going to do with the green ones?",5,4
swa,inahitajika,What kind of plant medication is needed for irrigation in coconut plants?,5,2
nyn,yemondi,Have you ever wondered what kind of fruit and vegetables are available?,5,5
nyn,orikwenda,E orikwenda the musician of thebihimba byamusingyirira  bihisiize and byokushogora tell 0781650903 AND HAMURWA RUBANDA,5,5
lug,obulungi,E Mbuza Kika Ki is one of the finest castles in the world and is well suited to winter weather conditions.,5,3
swa,zenye,S.naeza where to find ready nested rabbit houses.,5,3
nyn,fatariza,E OBUHABUZI OKOZESE FATARIZA TURIPO NAMUTI 17 NOTRES Some people have to pay EBICORI NOTIMBA in addition to a few hundred and eighteen KINA FATARIZA NIBAGYETA DAPU and his friends,5,4
nyn,kebihimba,E Nanimbuza Akatare Kebihimba Karikata is also known as Karikata.,5,5
swa,what,I want to make a chicken pie meal what is the formula?,5,3
swa,mnisaidie,"I'm looking for help from someone who's been raising rabbits and building rabbit houses with Gilbert from bomet county,",5,4
nyn,bukwinganaki,E Inkabuza Inti Waheza Kufuhiza Liqud Organic Manure Emirudi3 Nomara Obwire Bukwinganaki Ikashuba Ifuhiririramu????Ninye Lauben,5,5
swa,mvua?,Question: How long will I use my hand to dry the branches and rain?,5,3
swa,antony,What kind of insect repellent can I use for my grandmother?,5,3
nyn,nibanyeta,"When I called Methodius, I asked him why he asked me to tell him what book he had written.",5,5
nyn,kyoka,"In the meantime, they're eating two kilograms a day and trying to make ends meet.",5,3
nyn,kw'obutumwa.,Suzan has asked: Agnes waba.noyeda is going to win the title of who is going to be re-elected with Garukamu and E17 at the beginning of the message.,5,5
swa,machungwa,Q. Why are my oranges in the mirror? Why are my oranges in the mirror? Why am I not ready? What medication should I take?,5,4
swa,kulisha,"I asked, ""What do I want to feed the chicken with?",5,3
swa,unga,The price of a kienyeji chicken can be as high as Gagi per kg.,5,4
swa,tofauti,"S. I've been using different medications to treat my grandmother, but I've found that some of the grandmothers show signs of wearing zippers.",5,4
lug,ente,"E-kiva why do I have a physical dog, and what do I use to treat them?",5,4
swa,magonjwa,What medication can I use to treat diseases such as skin and whitefy?,5,4
swa,nahitaji,I also need your help here s37.,5,5
swa,upandwa,This is not the case with NZURI KISII COUNTY.,5,5
swa,inakula,"My cow grows very well, but the milk is very small.",5,4
swa,penye,"Grace and I ask, ""What medication should I use to help vegetables and health and be protected by insects, even if it doesn't go fast because of the sun?""",5,3
swa,nazo,S. Where can I get some spinach while I have it here in Malindi?,5,3
swa,naezapata,S gabriel asked me if I could find a little cake to eat and then I got the eldoret number<0795155542>,5,4
swa,dairy,Fresh dairy cows provide fresh milk every day.,5,4
swa,can,I'm trying to find a DAP and CAN bottle.,5,3
swa,wanyama,I'm trying to find a DAP and CAN bottle.,5,3
swa,about,"Q. If you want to make kienyeji cookies, how do you go about it cos I tried it with imeshidikana?",5,2
nyn,kutoroga,What is the purpose of the work?,5,4
swa,kasi,I'm looking for a way to get Niko's cow.,5,5
swa,barafu,What is the best anti-inflammatory agent to prevent insects from penetrating the inside of the flower and what is the best anti-inflammatory agent for tomatoes?,5,5
swa,piga,"Q,I'm asking if there's any medicine you can use to pick large, fatty potatoes.",5,5
swa,atage,S Jessy Nielezeni or Chicken Cook quickly and give me what to eat.,5,3
swa,kuspray,Q. What medication can I use to spray tomatoes in the winter?,5,5
swa,ikomae,S Ten months is the ikomae.,5,5
swa,chanchwa,"How long do chickens die and how long do they die, and how long do chickens die and how long do they die?",5,2
swa,anaendesha,S why a cow eats the sprouting grass after the raft has run.,5,3
swa,carrot,Do I want to plant a carrot and start?,5,4
lug,emwanyi,"The help I get when I'm sick is not enough, but it's enough to make me drink a glass of water!",5,5
nyn,rwa,"E Support to Boost Fertilizer Gurayambaki Emondi ""Where is Victory?"" and GERALD OWA RUBANDA.",5,4
swa,molo,"S,What is the part of the river crossing to the south, where potatoes, beans and peas are grown, and where do you want to grow semraw sukuma?",5,4
swa,inaitaji,Does a three-month-old baby need a loan?,5,3
swa,ufanye,Q.Where is the value of the property and the value of the property?,5,3
swa,wowote,"Clement asks: ""What kind of corn does the Kenya Seed Co. produce every season?"" Natoka County Western Jibu S121 is followed by your answer.",5,4
nyn,empuzi,"E Nitunga Enkoko, Empunu, Empuzi as well as Water Melon, Amoozi, Obutunda are included.",5,1
nyn,"amoozi,","E Nitunga Enkoko, Empunu, Empuzi as well as Water Melon, Amoozi, Obutunda are included.",5,1
nyn,ningashi,"A lot of people don't even know what they're doing when they're trying to send our kids to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school, or when they're going to school.",5,3
swa,pahali,Is it better to plant tomatoes where you planted them last season?,5,5
nyn,enda,Do you have a good musician?,5,5
nyn,inyine,E Nimbuza Naba Inyine Oburo Nabeta Nimubugyesha was born in Nimbuza.,5,5
nyn,mbenu,"Ezra asked: ""My wife is still going, but I'm still working on it"".",5,5
swa,kutunza,How am I supposed to take care of my rabbit?,5,5
swa,wagani,What kind of chicken is a good egg?,5,3
swa,lima,S nalimia githurai managu terere na sipati profit and niko nagari one in hindi what can i do in hindi?,5,3
nyn,mukiga,"E # Mukiga S  nimbuza abahingi, farmers of chicken feed 21 eggs and how many eggs do the hens feed?",5,3
swa,inatake,"S,kitungu inatake how long for shamba?",5,5
